核心客户号,基金代码,当前份额,持仓成本（元）,最早购买日期
001149275948,013650,12898044.72,13272000.0000,2022-11-21
001147568385,019432,1370067.09,2500000.0000,2025-08-08
001149275948,002351,1407260.51,2222000.0000,2021-02-04
001289434003,018530,1819349.18,2000000.0000,2025-07-17
001230109502,011525,1990049.75,2000000.0000,2021-03-02
001149275948,002961,1518820.40,1831552.0000,2021-03-10
001128411806,019432,868229.63,1500000.0000,2025-07-22
001145237916,002610,476359.37,1200000.0000,2025-05-15
001325216927,019432,628660.40,1000000.0000,2025-07-04
001158509585,013650,862949.18,1000000.0000,2025-07-31
001147568385,024856,1000311.11,1000000.0000,2025-08-07
001153280773,024462,978460.24,990000.0000,2025-06-17
001149275948,004994,467178.28,700000.0000,2025-08-22
001149275948,004993,449859.81,700000.0000,2025-08-22
001220895608,019432,344034.95,600000.0000,2025-07-25
001146233364,019401,511881.02,518000.0000,2023-10-24
001153280773,019432,333762.74,570000.0000,2025-08-11
001220322768,018531,544464.61,600000.0000,2025-08-19
001202179646,012805,583732.80,550000.0000,2025-07-28
001153280773,021642,494363.65,500000.0000,2024-07-08
001137007189,017770,500250.00,500000.0000,2023-02-22
001147568385,020494,458142.55,487500.0013,2024-04-24
001137007189,014207,463067.16,500000.0000,2023-02-22
001153280773,014420,491500.84,495327.9963,2022-01-05
001128411806,022701,360724.33,500000.0000,2025-07-30
001157776482,018531,462962.96,510000.0000,2025-08-15
001202179646,024856,500369.44,500000.0000,2025-07-29
001158509585,024856,500369.44,500000.0000,2025-07-29
001128411806,024856,500350.00,500000.0000,2025-07-30
001128891426,024463,500080.55,500000.0000,2025-06-18
001137007189,163406,249864.27,500000.0000,2020-12-14
001146233364,024462,459748.37,465000.0000,2025-06-06
001128411806,009556,504690.80,510747.0900,2020-08-25
001137007189,010429,448398.73,500000.0000,2023-02-22
001144736394,024784,367635.17,404582.5046,2025-07-22
001153280773,002610,149288.25,200000.0000,2020-05-11
001149275948,000385,196055.72,307000.0000,2022-03-14
001219540015,018531,271468.65,300000.0000,2025-08-25
001147300881,006178,254086.18,280757.0393,2025-03-05
001145072315,001016,138888.89,200000.0000,2015-06-23
001206161933,010286,296483.19,300000.0000,2020-12-10
001153280773,017160,198127.80,200000.0000,2023-05-09
001158558830,019432,103680.66,200000.0000,2025-08-26
001200059604,018531,181554.10,200000.0000,2025-08-15
001152520525,160514,92459.45,150000.0000,2021-10-29
001128891426,018512,140005.60,140000.0000,2023-08-04
001146084469,003282,105959.50,150000.0000,2021-11-01
001216063862,018531,136177.94,150000.0000,2025-08-18
001205357142,018531,136165.58,150000.0000,2025-08-15
001146083227,001536,68890.34,84000.0000,2019-07-22
001146083227,005741,50585.65,62000.0000,2019-07-22
001152988867,019432,62354.20,114000.0000,2025-08-12
001147009829,206007,33446.97,115762.7495,2019-04-25
001144736394,163406,58549.10,106000.0000,2021-03-18
001219400840,017724,100059.58,100000.0000,2023-03-15
001149275948,000385,62988.15,100000.0000,2022-09-05
001153280773,012582,146523.08,148274.6100,2021-07-20
001146084469,023467,100010.00,100000.0000,2025-04-18
001220021526,012805,108248.54,100000.0000,2025-07-30
001144599257,012805,107886.50,100000.0000,2025-08-05
001147251190,010532,99214.35,100000.0000,2021-01-06
001147879204,010532,99214.35,100000.0000,2021-01-06
001144857022,012232,91424.40,100000.0000,2025-07-21
001231741224,018530,90993.60,100000.0000,2025-07-11
001147284577,017156,58826.99,100000.0000,2025-06-11
001220021526,024856,100070.00,100000.0000,2025-07-30
001140189391,018531,90777.05,100000.0000,2025-08-15
001215294734,024462,98838.39,100000.0000,2025-06-16
001151671595,024462,98830.34,100000.0000,2025-06-18
001148302158,011525,99206.35,100000.0000,2021-03-02
001146291514,011525,97619.05,98400.0016,2021-03-02
001147327569,000925,60542.09,150000.0000,2015-06-03
001148286934,163406,47730.21,81000.0000,2021-01-28
001144599257,022701,63414.74,90000.0000,2025-08-11
001200371039,163406,46550.96,91500.0000,2021-02-04
001152520525,007129,60354.58,82037.2566,2021-11-02
001220225648,163406,44243.43,79000.0000,2021-04-01
001220021526,002611,34498.13,85000.0000,2025-05-08
001151978295,163406,40956.96,73000.0000,2020-07-20
001231907116,018531,72780.20,80000.0000,2025-08-07
001156715220,160119,39797.43,71355.6711,2020-08-03
001156715220,009951,85000.29,86020.2900,2020-08-13
001144736394,260108,40672.97,106000.0000,2021-03-18
001200808843,013650,59969.29,70000.0000,2025-08-05
001201211842,163406,34424.97,63000.0000,2020-07-09
001147327569,110022,17715.07,76500.0000,2021-02-25
001219310803,163406,31868.41,58000.0000,2021-02-18
001151671596,015083,49538.70,50000.0000,2022-08-18
001219485329,163406,31044.76,60000.0000,2021-02-04
001152520525,003567,13495.82,50000.0000,2022-06-27
001151637556,018531,54446.46,60000.0000,2025-08-19
001214661966,018531,54446.46,60000.0000,2025-08-19
001152988867,016219,49513.95,50000.0000,2023-02-03
001147145286,163406,28724.67,50700.0000,2020-07-09
001203843893,017769,49705.96,50000.0000,2023-03-02
001203104667,016492,46490.26,50000.0000,2023-03-06
001146237028,011720,49603.17,50000.0000,2021-05-06
001220930240,018619,50035.00,50000.0000,2023-06-01
001214318670,017160,49504.95,50000.0000,2023-05-19
001147405485,163406,27444.65,51000.0000,2021-01-28
001145285064,010532,49607.17,50000.0000,2021-01-06
001263895186,015717,44594.11,50300.0000,2024-10-09
001144861752,006390,45943.21,50000.0000,2025-02-10
001215294734,018530,45496.80,50000.0000,2025-07-11
001155715428,017156,29411.76,50000.0000,2025-06-16
001144638581,018531,45487.63,50000.0000,2025-08-07
001204903788,018531,45471.08,50000.0000,2025-08-08
001144857022,017156,29268.86,50000.0000,2025-07-21
001203104667,011525,49606.35,50003.2004,2021-03-02
001156786536,001117,23424.19,50000.0000,2021-02-01
001152988867,010429,49408.86,50000.0000,2020-11-03
001145398434,015682,49506.95,50000.0000,2022-06-17
